Date,AsianPaints Open,AsianPaints High,AsianPaints Low,AsianPaints Close,AsianPaints Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Volume,,DROP DOWN,,,,,,,,,,,,,,,,,,,,,,Date,AsianPaints High,DMART Low
2023-10-04,3129.158273,3152.936345,3115.712217,3134.052246,892584,3760.00,3909.949951,3760,3872.95,1737108,,AsianPaints High,,,,,,,,,,,,,,,,,,,,,,2023-10-04,3152.936345,3760
2023-10-05,3173.699047,3195.549222,3138.402817,3169.991455,1002610,3880.00,3938.399902,3842.050049,3861.50,607632,,DMART Low,,,,,,,,,,,,,,,,,,,,,,2023-10-05,3195.549222,3842.050049
2023-10-06,3178.395241,3180.619797,3153.925133,3159.610107,814257,3860.00,3890.800049,3786.75,3833.95,345055,,,,,,,,,,,,,,,,,,,,,,,,2023-10-06,3180.619797,3786.75
2023-10-09,3104.539939,3127.230354,3097.272962,3117.145752,700012,3809.60,3818,3771,3798.60,278929,,TICKER,AsianPaints,,,,,,,,,,,,,,,,,,,,,2023-10-09,3127.230354,3771
2023-10-10,3114.377559,3129.108962,3104.540129,3115.860596,847367,3809.95,3829.850098,3775.550049,3793.80,284836,,,,,,,,,,,,,,,,,,,,,,,,2023-10-10,3129.108962,3775.550049
2023-10-11,3133.162539,3148.981599,3116.404271,3128.120117,1025317,3812.50,3889,3804.300049,3852.05,304828,,,,,,,,,,,,,,,,,,,,,,,,2023-10-11,3148.981599,3804.300049
2023-10-12,3149.970455,3152.442183,3114.427051,3123.374756,992531,3874.80,3890,3820.300049,3862.75,226262,,,,,,,,,,,,,,,,,,,,,,,,2023-10-12,3152.442183,3820.300049
2023-10-13,3114.377543,3136.128752,3092.873508,3113.191162,854688,3853.95,3941,3836.050049,3935.85,554574,,,,,,,,,,,,,,,,,,,,,,,,2023-10-13,3136.128752,3836.050049
2023-10-16,3088.671502,3092.626267,3061.087112,3076.856689,853011,3825.05,3873.899902,3772.75,3856.80,1102582,,,,,,,,,,,,,,,,,,,,,,,,2023-10-16,3092.626267,3772.75
2023-10-17,3101.52436,3101.52436,3056.835566,3078.3396,792640,3879.15,3885,3834.300049,3842.85,394330,,,,,,,,,,,,,,,,,,,,,,,,2023-10-17,3101.52436,3834.300049
2023-10-18,3074.829676,3079.970822,3055.055851,3061.432861,481985,3842.85,3853.100098,3776.25,3795.95,356321,,,,,,,,,,,,,,,,,,,,,,,,2023-10-18,3079.970822,3776.25
2023-10-19,3052.782013,3075.719602,3041.313339,3066.722656,568124,3790.00,3790,3746.850098,3766.85,168075,,,,,,,,,,,,,,,,,,,,,,,,2023-10-19,3075.719602,3746.850098
2023-10-20,3057.527682,3079.872201,3029.89381,3070.726807,711434,3760.05,3780.949951,3742.100098,3749.50,200038,,,,,,,,,,,,,,,,,,,,,,,,2023-10-20,3079.872201,3742.100098
2023-10-23,3061.037594,3073.742132,3029.349991,3037.259521,374476,3750.05,3768,3641.350098,3668.95,297128,,,,,,,,,,,,,,,,,,,,,,,,2023-10-23,3073.742132,3641.350098
2023-10-25,3058.41747,3072.852459,3017.485748,3026.186279,669290,3685.00,3755,3620.100098,3740.55,333022,,,,,,,,,,,,,,,,,,,,,,,,2023-10-25,3072.852459,3620.100098
2023-10-26,3016.595968,3020.451767,2906.752273,2926.822754,1834111,3728.05,3731.949951,3662,3684.65,289964,,,,,,,,,,,,,,,,,,,,,,,,2023-10-26,3020.451767,3662
2023-10-27,2899.633852,2941.010437,2897.854159,2921.730957,1708185,3700.00,3758,3651,3665.45,365480,,,,,,,,,,,,,,,,,,,,,,,,2023-10-27,2941.010437,3651
2023-10-30,2940.368016,2958.114977,2905.862785,2933.546143,878885,3686.70,3688,3624.25,3646.65,254298,,,,,,,,,,,,,,,,,,,,,,,,2023-10-30,2958.114977,3624.25
2023-10-31,2935.4245,2978.679745,2932.458426,2961.82251,1152306,3657.65,3671.25,3620,3633.40,820386,,,,,,,,,,,,Open,3135,,,,,,,,,,,2023-10-31,2978.679745,3620
2023-11-01,2964.046944,2974.873065,2896.86542,2901.364014,1029990,3637.50,3660.600098,3621,3639.45,242467,,,,,,,,,,,,Low,3054.550049,,,,,,,,,,,2023-11-01,2974.873065,3621
2023-11-02,2927.564278,2928.503486,2900.820131,2921.978027,900125,3639.00,3677.949951,3624.149902,3647.45,216100,,,,,,,,,,,,High,3156.75,,,,,,,,,,,2023-11-02,2928.503486,3624.149902
2023-11-03,2928.663669,2954.315378,2913.807411,2949.313965,715997,3667.60,3667.600098,3621.25,3649.70,316179,,,,,,,,,,,,,,,,,,,,,,,,2023-11-03,2954.315378,3621.25
2023-11-06,2969.270646,3004.975233,2955.25634,3000.270752,620959,3654.55,3692.899902,3635.300049,3649.55,277254,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06,3004.975233,3635.300049
2023-11-07,3000.270745,3009.828173,2973.430343,3004.281982,757998,3649.50,3667.949951,3636,3653.30,287032,,,,,,,,,,,,,,,,,,,,,,,,2023-11-07,3009.828173,3636
2023-11-08,3028.695826,3069.253363,3017.008855,3065.588867,783400,3658.00,3727.949951,3658,3712.40,246719,,,,,,,,,,,,,,,,,,,,,,,,2023-11-08,3069.253363,3658
2023-11-09,3070.293169,3081.583828,3044.591893,3050.682861,849702,3733.90,3765,3725,3747.60,248748,,,,,,,,,,,,,,,,,,,,,,,,2023-11-09,3081.583828,3725
2023-11-10,3040.580851,3055.43711,3010.967473,3046.968994,364232,3750.00,3800,3738.550049,3798.40,205429,,,,,,,,,,,,,,,,,,,,,,,,2023-11-10,3055.43711,3738.550049
2023-11-13,3068.312326,3068.312326,3035.62856,3056.03125,405941,3809.95,3819.800049,3740.199951,3798.45,166502,,,,,,,,,,,,,,,,,,,,,,,,2023-11-13,3068.312326,3740.199951
2023-11-15,3056.130167,3088.962641,3049.197247,3086.337891,700017,3810.00,3814.949951,3750.100098,3791.95,372291,,,,,,,,,,,,,,,,,,,,,,,,2023-11-15,3088.962641,3750.100098
2023-11-16,3089.111216,3110.801256,3067.916385,3100.302979,675454,3795.00,3800,3765,3790.25,148945,,,,,,,,,,,,,,,,,,,,,,,,2023-11-16,3110.801256,3765
2023-11-17,3119.814171,3197.314316,3115.505759,3138.532959,1430175,3794.95,3843,3780,3810.90,266479,,,,,,,,,,,,,,,,,,,,,,,,2023-11-17,3197.314316,3780
2023-11-20,3138.532808,3141.504059,3101.986512,3110.256592,406431,3810.90,3833,3771.699951,3792.90,252998,,,,,,,,,,,,,,,,,,,,,,,,2023-11-20,3141.504059,3771.699951
2023-11-21,3126.647879,3126.647879,3097.034502,3103.224609,409069,3796.00,3842,3796,3814.95,196060,,,,,,,,,,,,,,,,,,,,,,,,2023-11-21,3126.647879,3796
2023-11-22,3109.909971,3126.747063,3091.29008,3102.977051,489889,3820.00,3873.850098,3812.350098,3838.25,200608,,,,,,,,,,,,,,,,,,,,,,,,2023-11-22,3126.747063,3812.350098
2023-11-23,3117.833191,3141.008856,3085.297891,3093.023193,792460,3848.00,3865,3798.949951,3844.40,201012,,,,,,,,,,,,,,,,,,,,,,,,2023-11-23,3141.008856,3798.949951
2023-11-24,3088.120705,3109.711847,3081.187785,3106.09668,756329,3820.00,3869,3799,3842.90,96391,,,,,,,,,,,,,,,,,,,,,,,,2023-11-24,3109.711847,3799
2023-11-28,3111.048735,3129.718195,3106.096649,3118.179932,647883,3815.00,3934,3815,3912.15,449705,,,,,,,,,,,,,,,,,,,,,,,,2023-11-28,3129.718195,3815
2023-11-29,3118.179932,3139.622366,3111.890686,3118.179932,620725,3915.00,3937,3841,3861.50,333845,,,,,,,,,,,,,,,,,,,,,,,,2023-11-29,3139.622366,3841
2023-11-30,3118.180003,3123.726195,3078.563316,3090.002441,1793116,3878.00,3962,3834,3949.75,698850,,,,,,,,,,,,,,,,,,,,,,,,2023-11-30,3123.726195,3834
2023-12-01,3116.79326,3160.025115,3110.157514,3142.989746,960196,3969.65,3995,3931.149902,3988.40,380041,,,,,,,,,,,,,,,,,,,,,,,,2023-12-01,3160.025115,3931.149902
2023-12-04,3159.430809,3173.742289,3136.156006,3163.937256,1018189,4000.00,4049,3950.050049,3967.10,389629,,,,,,,,,,,,,,,,,,,,,,,,2023-12-04,3173.742289,3950.050049
2023-12-05,3166.363793,3216.528327,3149.526701,3195.333496,1005550,3950.00,4041,3949,4039.55,443420,,,,,,,,,,,,,,,,,,,,,,,,2023-12-05,3216.528327,3949
2023-12-06,3233.711993,3257.482004,3201.969075,3221.381348,1229158,4039.55,4175,4039,4137.15,861085,,,,,,,,,,,,,,,,,,,,,,,,2023-12-06,3257.482004,4039
2023-12-07,3252.530057,3268.327163,3215.736155,3220.638672,1071725,4140.05,4206,4095,4115.45,414582,,,,,,,,,,,,,,,,,,,,,,,,2023-12-07,3268.327163,4095
2023-12-08,3223.807915,3238.466138,3196.868617,3201.02832,895852,4155.95,4170,4027.649902,4070.65,495575,,,,,,,,,,,,,,,,,,,,,,,,2023-12-08,3238.466138,4027.649902
2023-12-11,3199.047547,3213.903805,3154.973982,3202.018799,910426,4070.65,4075,4025.050049,4069.75,239939,,,,,,,,,,,,,,,,,,,,,,,,2023-12-11,3213.903805,4025.050049
2023-12-12,3197.066756,3225.838425,3179.239247,3193.8479,1019030,4080.90,4100,4038.100098,4075.40,349447,,,,,,,,,,,,,,,,,,,,,,,,2023-12-12,3225.838425,4038.100098
2023-12-13,3208.951724,3223.758413,3159.728038,3212.56665,1052079,4075.00,4075.399902,3945.100098,4033.05,388573,,,,,,,,,,,,,,,,,,,,,,,,2023-12-13,3223.758413,3945.100098
2023-12-14,3223.807916,3227.373515,3187.162481,3210.288818,923107,4044.95,4081,3996.050049,4070.05,264682,,,,,,,,,,,,,,,,,,,,,,,,2023-12-14,3227.373515,3996.050049
2023-12-15,3218.855751,3294.474198,3210.932414,3282.143311,1631687,4085.00,4097.899902,4017,4045.65,300270,,,,,,,,,,,,,,,,,,,,,,,,2023-12-15,3294.474198,4017
2023-12-18,3281.252133,3303.833693,3264.415041,3300.119629,911936,4045.00,4079.800049,4000,4010.15,221527,,,,,,,,,,,,,,,,,,,,,,,,2023-12-18,3303.833693,4000
2023-12-19,3303.98216,3321.760101,3268.525177,3304.081299,780448,4010.00,4048.949951,3990.25,4021.35,185004,,,,,,,,,,,,,,,,,,,,,,,,2023-12-19,3321.760101,3990.25
2023-12-20,3304.081329,3327.752203,3251.192906,3265.553955,979762,4011.00,4046.449951,3905,3965.90,244858,,,,,,,,,,,,,,,,,,,,,,,,2023-12-20,3327.752203,3905
2023-12-21,3248.568314,3288.185001,3240.496511,3271.29834,1585879,3950.00,4009.899902,3920.050049,3954.50,286850,,,,,,,,,,,,,,,,,,,,,,,,2023-12-21,3288.185001,3920.050049
2023-12-22,3278.181761,3318.689969,3255.501304,3309.281006,930563,3977.95,4015,3962.050049,4007.95,224831,,,,,,,,,,,,,,,,,,,,,,,,2023-12-22,3318.689969,3962.050049
2023-12-26,3317.8479,3359.395852,3313.143419,3350.927979,600190,4009.95,4038.199951,3995.350098,4023.45,299135,,,,,,,,,,,,,,,,,,,,,,,,2023-12-26,3359.395852,3995.350098
2023-12-27,3348.650019,3377.272978,3321.859186,3371.825684,837182,4020.00,4063.300049,4000,4027.45,349033,,,,,,,,,,,,,,,,,,,,,,,,2023-12-27,3377.272978,4000
2023-12-28,3372.370557,3387.177246,3340.726776,3364.694824,779250,4048.90,4058.399902,4015,4044.65,403866,,,,,,,,,,,,,,,,,,,,,,,,2023-12-28,3387.177246,4015
2023-12-29,3377.322678,3390.148532,3351.472692,3369.79541,615676,4045.10,4098.899902,3984.199951,4082.65,224994,,,,,,,,,,,,,,,,,,,,,,,,2023-12-29,3390.148532,3984.199951
2024-01-01,3370.38969,3379.10541,3356.672315,3363.555908,283951,4075.00,4080,4042.100098,4064.75,131614,,,,,,,,,,,,,,,,,,,,,,,,2024-01-01,3379.10541,4042.100098
2024-01-02,3363.456661,3366.328774,3312.945386,3358.851318,552394,4070.00,4155,4006.25,4103.35,843252,,,,,,,,,,,,,,,,,,,,,,,,2024-01-02,3366.328774,4006.25
2024-01-03,3358.851389,3366.427984,3332.7538,3341.271484,379131,4080.00,4080,3919.399902,3932.35,964470,,,,,,,,,,,,,,,,,,,,,,,,2024-01-03,3366.427984,3919.399902
2024-01-04,3339.686779,3368.656481,3331.565406,3347.560547,777127,3965.00,3965,3888,3897.85,754490,,,,,,,,,,,,,,,,,,,,,,,,2024-01-04,3368.656481,3888
2024-01-05,3347.560615,3348.006254,3315.916833,3323.394531,416956,3902.00,3940,3810,3863.50,513823,,,,,,,,,,,,,,,,,,,,,,,,2024-01-05,3348.006254,3810
2024-01-08,3322.849702,3344.143672,3263.276205,3266.791992,545884,3893.95,3919.899902,3791,3804.40,692896,,,,,,,,,,,,,,,,,,,,,,,,2024-01-08,3344.143672,3791
2024-01-09,3278.280964,3283.23305,3230.988542,3236.188232,670704,3810.10,3850,3787,3810.75,440688,,,,,,,,,,,,,,,,,,,,,,,,2024-01-09,3283.23305,3787
2024-01-10,3260.453335,3261.443752,3226.977186,3255.352783,691087,3818.90,3837.949951,3792.350098,3822.00,338253,,,,,,,,,,,,,,,,,,,,,,,,2024-01-10,3261.443752,3792.350098
2024-01-11,3255.352779,3277.488458,3239.357397,3256.689697,537469,3845.00,3845,3805,3821.35,213492,,,,,,,,,,,,,,,,,,,,,,,,2024-01-11,3277.488458,3805
2024-01-12,3263.374962,3263.374962,3212.913256,3246.389404,673004,3827.95,3848,3794.100098,3841.00,456627,,,,,,,,,,,,,,,,,,,,,,,,2024-01-12,3263.374962,3794.100098
2024-01-15,3250.747122,3255.699208,3227.373422,3242.526611,728116,3924.95,3933,3851,3858.25,505101,,,,,,,,,,,,,,,,,,,,,,,,2024-01-15,3255.699208,3851
2024-01-16,3243.566787,3288.185131,3242.526801,3265.306396,748215,3860.00,3865,3807,3828.30,445672,,,,,,,,,,,,,,,,,,,,,,,,2024-01-16,3288.185131,3807
2024-01-17,3262.533396,3272.685172,3162.451689,3211.229736,2239241,3750.00,3811.899902,3750,3786.45,516399,,,,,,,,,,,,,,,,,,,,,,,,2024-01-17,3272.685172,3750
2024-01-18,3226.729606,3226.729606,3019.385914,3133.531494,1979174,3786.45,3790,3740,3748.85,489754,,,,,,,,,,,,,,,,,,,,,,,,2024-01-18,3226.729606,3740
2024-01-19,3147.347889,3170.870298,3118.427754,3135.512451,936201,3762.95,3768.699951,3704.5,3731.70,565533,,,,,,,,,,,,,,,,,,,,,,,,2024-01-19,3170.870298,3704.5
2024-01-23,3057.962546,3079.206946,2992.595014,3025.427246,2365225,3675.00,3714,3651.050049,3675.90,299750,,,,,,,,,,,,,,,,,,,,,,,,2024-01-23,3079.206946,3651.050049
2024-01-24,3025.72451,3025.72451,2947.580691,2970.706787,2665932,3675.90,3748,3646.050049,3727.75,316651,,,,,,,,,,,,,,,,,,,,,,,,2024-01-24,3025.72451,3646.050049
2024-01-25,2981.205213,2987.098147,2914.104451,2920.938232,2001961,3731.00,3750,3695.5,3734.25,200269,,,,,,,,,,,,,,,,,,,,,,,,2024-01-25,2987.098147,3695.5
2024-01-29,2911.875988,2959.812082,2911.875988,2947.531006,1862723,3700.00,3764.199951,3689,3749.40,216522,,,,,,,,,,,,,,,,,,,,,,,,2024-01-29,2959.812082,3689
2024-01-30,2961.347384,2976.203642,2922.770683,2925.791504,1273188,3740.00,3772.850098,3680,3687.30,263265,,,,,,,,,,,,,,,,,,,,,,,,2024-01-30,2976.203642,3680
2024-01-31,2937.577419,2943.420783,2919.799478,2929.505615,1771244,3680.00,3821.399902,3652.75,3792.70,353880,,,,,,,,,,,,,,,,,,,,,,,,2024-01-31,2943.420783,3652.75
2024-02-01,2932.62517,2944.36171,2891.968498,2901.278564,3006472,3810.00,3826.600098,3772,3808.20,188297,,,,,,,,,,,,,,,,,,,,,,,,2024-02-01,2944.36171,3772
2024-02-02,2921.730777,2933.962526,2896.029499,2908.162109,1881911,3808.20,3815,3770,3784.30,186318,,,,,,,,,,,,,,,,,,,,,,,,2024-02-02,2933.962526,3770
2024-02-05,2921.730578,2936.586835,2884.094726,2889.393555,923435,3785.00,3791.550049,3720.050049,3729.60,216052,,,,,,,,,,,,,,,,,,,,,,,,2024-02-05,2936.586835,3720.050049
2024-02-06,2902.91285,2918.759526,2874.834426,2902.863281,1471312,3730.00,3737.699951,3702.050049,3727.40,148110,,,,,,,,,,,,,,,,,,,,,,,,2024-02-06,2918.759526,3702.050049
2024-02-07,2928.663553,2974.173174,2907.914362,2952.582031,1134012,3759.00,3785,3703,3717.70,173087,,,,,,,,,,,,,,,,,,,,,,,,2024-02-07,2974.173174,3703
2024-02-08,2971.004038,2971.004038,2891.82023,2901.526367,1633654,3718.95,3787.949951,3715,3731.05,261689,,,,,,,,,,,,,,,,,,,,,,,,2024-02-08,2971.004038,3715
2024-02-09,2901.922311,2930.644409,2882.658745,2923.364746,1144765,3732.15,3758,3699,3719.20,306425,,,,,,,,,,,,,,,,,,,,,,,,2024-02-09,2930.644409,3699
2024-02-12,2923.364843,2936.53744,2892.067804,2925.494385,614469,3719.20,3734.949951,3644.300049,3675.60,199148,,,,,,,,,,,,,,,,,,,,,,,,2024-02-12,2936.53744,3644.300049
2024-02-13,2936.53736,2952.681208,2917.471829,2943.123779,717118,3685.05,3728,3660.899902,3703.20,294135,,,,,,,,,,,,,,,,,,,,,,,,2024-02-13,2952.681208,3660.899902
2024-02-14,2941.439974,2952.235666,2907.914496,2947.877686,750339,3700.00,3739,3691.050049,3722.40,257694,,,,,,,,,,,,,,,,,,,,,,,,2024-02-14,2952.235666,3691.050049
2024-02-15,2951.443269,2995.516835,2939.013485,2987.643066,1068730,3722.40,3729.949951,3671.350098,3678.60,507420,,,,,,,,,,,,,,,,,,,,,,,,2024-02-15,2995.516835,3671.350098
2024-02-16,3005.916085,3005.916085,2971.251485,2979.075684,1179473,3698.60,3724.649902,3665.100098,3693.30,726598,,,,,,,,,,,,,,,,,,,,,,,,2024-02-16,3005.916085,3665.100098
2024-02-19,2979.075768,2989.772322,2958.871354,2969.369873,560700,3673.30,3722,3673.300049,3707.25,226669,,,,,,,,,,,,,,,,,,,,,,,,2024-02-19,2989.772322,3673.300049
2024-02-20,2969.369836,2988.187762,2943.618989,2982.789795,729371,3701.00,3784,3691.399902,3756.20,316518,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20,2988.187762,3691.399902
2024-02-21,2983.1862,2997.745285,2954.909741,2973.034424,927130,3752.00,3889,3752,3835.75,592509,,,,,,,,,,,,,,,,,,,,,,,,2024-02-21,2997.745285,3752
2024-02-22,2954.414366,2998.190756,2904.002229,2988.484619,2615821,3860.00,3869,3801.850098,3851.45,237411,,,,,,,,,,,,,,,,,,,,,,,,2024-02-22,2998.190756,3801.850098
2024-02-23,2970.261174,2976.203678,2937.775442,2957.336182,1650523,3860.00,3872,3828.649902,3840.55,226731,,,,,,,,,,,,,,,,,,,,,,,,2024-02-23,2976.203678,3828.649902
2024-02-26,2892.018213,2901.922385,2820.51014,2840.962158,3524491,3840.55,3859,3796.25,3850.35,346646,,,,,,,,,,,,,,,,,,,,,,,,2024-02-26,2901.922385,3796.25
2024-02-27,2827.641014,2842.497272,2822.788067,2832.147461,1296180,3859.00,3885,3818.050049,3852.20,256237,,,,,,,,,,,,,,,,,,,,,,,,2024-02-27,2842.497272,3818.050049
2024-02-28,2822.837349,2831.998708,2758.806977,2767.572266,2472196,3856.40,3948.300049,3838.100098,3850.00,505405,,,,,,,,,,,,,,,,,,,,,,,,2024-02-28,2831.998708,3838.100098
2024-02-29,2758.311857,2810.803968,2750.140915,2794.858154,2284424,3818.40,3940,3797.050049,3918.90,499782,,,,,,,,,,,,,,,,,,,,,,,,2024-02-29,2810.803968,3797.050049
2024-03-01,2805.752653,2818.677645,2788.073851,2804.61377,978174,3925.00,3936.75,3867,3884.15,261674,,,,,,,,,,,,,,,,,,,,,,,,2024-03-01,2818.677645,3867
2024-03-04,2832.593054,2833.533902,2800.899705,2804.61377,971299,3870.95,3878.649902,3831,3846.35,153055,,,,,,,,,,,,,,,,,,,,,,,,2024-03-04,2833.533902,3831
2024-03-05,2806.842329,2807.68428,2778.120231,2793.372559,736381,3830.00,3884.350098,3811.300049,3834.50,185829,,,,,,,,,,,,,,,,,,,,,,,,2024-03-05,2807.68428,3811.300049
2024-03-06,2800.850217,2811.794376,2751.131323,2800.206543,1723066,3834.50,3895,3825.149902,3888.65,308886,,,,,,,,,,,,,,,,,,,,,,,,2024-03-06,2811.794376,3825.149902
2024-03-07,2797.928443,2866.267226,2797.928443,2843.041992,1564364,3888.65,3942.649902,3877.199951,3925.95,330459,,,,,,,,,,,,,,,,,,,,,,,,2024-03-07,2866.267226,3877.199951
2024-03-11,2867.802491,2868.792908,2825.75933,2849.281738,866546,3948.85,4025,3936.050049,3979.65,689781,,,,,,,,,,,,,,,,,,,,,,,,2024-03-11,2868.792908,3936.050049
2024-03-12,2852.401582,2872.110788,2837.990963,2848.588379,663186,3999.00,4042,3900,4031.70,499999,,,,,,,,,,,,,,,,,,,,,,,,2024-03-12,2872.110788,3900
2024-03-13,2851.01509,2859.582102,2807.832803,2832.741699,955841,4055.00,4056,3932.050049,3967.80,521699,,,,,,,,,,,,,,,,,,,,,,,,2024-03-13,2859.582102,3932.050049
2024-03-14,2832.593225,2870.278648,2813.775298,2864.53418,1381741,3966.95,4040,3890,4019.25,355226,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14,2870.278648,3890
2024-03-15,2867.257704,2869.188969,2822.688931,2840.070801,1356226,4019.45,4035,3904,3932.10,348203,,,,,,,,,,,,,,,,,,,,,,,,2024-03-15,2869.188969,3904
2024-03-18,2838.535546,2838.535546,2790.252711,2819.222412,940424,3932.10,4019,3918.699951,4010.55,230448,,,,,,,,,,,,,,,,,,,,,,,,2024-03-18,2838.535546,3918.699951
2024-03-19,2812.784827,2812.784827,2774.158556,2788.123535,1199135,4008.00,4046.050049,3983.050049,4014.10,451330,,,,,,,,,,,,,,,,,,,,,,,,2024-03-19,2812.784827,3983.050049
2024-03-20,2788.123451,2809.863059,2770.741581,2797.829346,818910,4015.00,4068,4009.25,4056.35,346426,,,,,,,,,,,,,,,,,,,,,,,,2024-03-20,2809.863059,4009.25
2024-03-21,2817.73678,2818.13285,2779.110511,2794.115234,1167680,4117.00,4238,4091.5,4163.10,1130832,,,,,,,,,,,,,,,,,,,,,,,,2024-03-21,2818.13285,4091.5
2024-03-22,2794.115421,2827.789606,2781.091531,2814.270508,1652689,4159.80,4330.5,4151.149902,4297.60,921652,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22,2827.789606,4151.149902
2024-03-26,2792.976563,2816.895042,2783.072391,2787.677734,1372390,4315.75,4509.450195,4297.25,4486.20,1838678,,,,,,,,,,,,,,,,,,,,,,,,2024-03-26,2816.895042,4297.25
2024-03-27,2790.945949,2815.607481,2790.698345,2803.375732,1156231,4480.50,4533,4387.049805,4420.55,814043,,,,,,,,,,,,,,,,,,,,,,,,2024-03-27,2815.607481,4387.049805
2024-03-28,2807.882382,2840.516581,2791.986137,2819.470215,1864623,4424.95,4560,4397.049805,4525.60,892567,,,,,,,,,,,,,,,,,,,,,,,,2024-03-28,2840.516581,4397.049805
